"CPT 5100, Advanced Competencies in Financial Accounting "
"CPT 5101, Advanced Competencies in Audit, Assurance and Governance "
"CPT 5102, Advanced Competencies in Strategy and Management Accounting "
"CPT 5103, Advanced Competencies in Taxation "
"CPT 5104, Integration of Advanced Competencies in Accountancy "
"CPT 5500, Compétences avancées en comptabilité financière "
"CPT 5501, Compétences avancées en audit, certification et gouvernance "
"CPT 5502, Compétences avancées en stratégie et comptabilité de gestion "
"CPT 5503, Compétences avancées en fiscalité "
"CPT 5504, Intégration des compétences avancées en comptabilité "
"ADM 1100, Introduction to Business "
"ADM 1101, Business and Society "
"ADM 1300, Introduction to Business "
"ADM 1301, Business and Society "
"ADM 1305, Mathematics for Business "
"ADM 1340, Financial Accounting "
"ADM 1370, Applications of Information Technology for Business "
"ADM 1500, Introduction à la gestion "
"ADM 1501, Gestion et société "
"ADM 1700, Introduction à la gestion "
"ADM 1701, Gestion et société "
"ADM 1705, Mathématiques pour la gestion "
"ADM 1740, Comptabilité financière "
"ADM 1770, Applications des technologies de l'information en gestion "
"ADM 2302, Business Analytics "
"ADM 2303, Statistics for Management "
"ADM 2304, Applications of Statistical Methods in Business "
"ADM 2313, The Entrepreneurial Society "
"ADM 2320, Marketing "
"ADM 2336, Organizational Behaviour "
"ADM 2337, Human Resource Management "
"ADM 2341, Managerial Accounting "
"ADM 2342, Intermediate Accounting I "
"ADM 2350, Financial Management "
"ADM 2352, Finance Theory "
"ADM 2372, Management Information Systems "
"ADM 2381, Business Communication Skills "
"ADM 2702, Analytique de gestion "
"ADM 2703, Les statistiques en gestion "
"ADM 2704, Application des méthodes statistiques en gestion "
"ADM 2713, La société entrepreneuriale "
"ADM 2720, Marketing "
"ADM 2736, Comportement organisationnel "
"ADM 2737, Gestion des ressources humaines "
"ADM 2738, Gestion des ressources humaines en milieu Innu "
"ADM 2741, Comptabilité de gestion "
"ADM 2742, Comptabilité intermédiaire I "
"ADM 2750, Gestion financière "
"ADM 2752, Théorie financière "
"ADM 2772, Systèmes d'information de gestion "
"ADM 2781, Habiletés de communication d'affaires "
"ADM 2901, Stage coop / Co-op Work Term "
"ADM 3301, Operations Management "
"ADM 3302, Supply Chain Management "
"ADM 3305, Business Simulation Analytics "
"ADM 3308, Business Data Mining "
"ADM 3313, New Venture Creation "
"ADM 3315, Social Entrepreneurship "
"ADM 3316, Competitive Intelligence "
"ADM 3317, Varieties of Capitalism: from Medieval Merchants to Modern Multinationals "
"ADM 3318, International Business "
"ADM 3319, Cross-Cultural Management "
"ADM 3321, Consumer Behaviour "
"ADM 3322, Services Marketing "
"ADM 3323, Market Research "
"ADM 3326, Advertising and Sales Promotion Management "
"ADM 3333, Staffing Organizations "
"ADM 3334, Industrial Relations "
"ADM 3337, Compensation Administration "
"ADM 3340, Intermediate Accounting II "
"ADM 3345, Taxation I "
"ADM 3346, Cost Accounting "
"ADM 3349, Auditing Theory "
"ADM 3350, Corporate Finance "
"ADM 3351, Fixed Income Investments "
"ADM 3352, Portfolio Management "
"ADM 3354, Financial Modeling "
"ADM 3355, Fintech "
"ADM 3357, Applied Investment Fund Management Module I "
"ADM 3358, Multinational Business Finance "
"ADM 3360, Business Law "
"ADM 3363, Healthcare Informatics for Managers "
"ADM 3378, Emerging Topics in Management Information Systems "
"ADM 3379, Systems Analysis, Development, and Performance "
"ADM 3396, Seminar in Administration "
"ADM 3701, Gestion des opérations "
"ADM 3702, Gestion de la chaîne d'approvisionnement "
"ADM 3705, La simulation pour l'analytique de gestion "
"ADM 3708, Forage de données en gestion "
"ADM 3713, Création d'une nouvelle entreprise "
"ADM 3715, Entrepreneuriat social "
"ADM 3716, Veille concurrentielle "
