Course Code,Course Description
CPT 5100 Advanced Competencies in Financial Accounting (3 units),"Non-routine accounting transactions, including uncommon capital assets, restructurations, hedge accounting, complex financial instruments, complex note disclosure, and public sector financial reporting. Complex transactions involving consolidation, revenue recognition, stock-based compensation, asset impairments, intangible assets, leases and future income taxes. Emerging trends in financial reporting."
"CPT 5101 Advanced Competencies in Audit, Assurance and Governance (3 units)","Non-routine engagements related to corporate social responsibility, system design, acquisition, and development to meet information needs, assurance engagements other than traditional financial statement audit including review, compilation, and comprehensive audit engagements. Quality control standards, specialized areas, and public sector. Implications of pending changes in assurance standards."
CPT 5102 Advanced Competencies in Strategy and Management Accounting (3 units),"Environmental scanning, strategy formulation, implementation and evaluation, risk management, sustainable profit maximization, strategic cost management, process improvement methodologies, pricing decisions, international transfer pricing, and special considerations for government and not-for-profit entities."
CPT 5103 Advanced Competencies in Taxation (3 units),"Determination of taxes payable for corporations in non-routine transactions, evaluation of tax consequences or tax planning opportunities for shareholders and their closely held corporations and for complex corporate transactions, including restructuring transactions, the determination of taxes payable for individuals in non-routine transactions, the evaluation of tax planning opportunities for individuals, including estate planning opportunities, determination of tax consequences for non-residents."
CPT 5104 Integration of Advanced Competencies in Accountancy (3 units),"Integration of technical competencies in financial accounting, strategy and governance, management accounting, audit and assurance, finance and to a lesser extent, taxation in realistic professional work situations. Methodological approach to analyze cases in accounting. Business valuation. Professional and ethical behaviour, problem solving and decision making, communication, self-management, and teamwork and leadership."
CPT 5500 Compétences avancées en comptabilité financière (3 crédits),"Opérations comptable non courantes, incluant les immobilisations corporelles peu courantes, les restructurations, la comptabilité de couverture, les instruments financiers complexes, les informations complexes fournies par voie de note, la comptabilité du secteur public. Transactions complexes impliquant la consolidation, la constatation des produits, la rémunération à base d'actions, la dépréciation d'actifs, les actifs incorporels,les contrats de location et les impôts sur le résultat. Tendances actuelles en information financière."
"CPT 5501 Compétences avancées en audit, certification et gouvernance (3 crédits)","Missions non courantes en lien avec la responsabilité sociale de l'entreprise, la conception, l'acquisition et le développement de système d'information pour répondre aux besoins, les types de missions autres que celles portant sur des états financiers incluant les missions d'examen, compilation et d'audit intégré. Normes de contrôle qualité, sujets spéciaux et secteur public. Implications des modifications en voie d'être apportées aux normes de certification."
CPT 5502 Compétences avancées en stratégie et comptabilité de gestion (3 crédits),"L'examen de l'environnement, la formulation, la mise en oeuvre et l'évaluation de la stratégie, la gestion du risque, la maximisation du profit durable, la gestion stratégique des coûts, les méthodes d'amélioration des processus, les décisions relatives à l'établissement des prix, le prix de cession interne à l'échelle internationale, et les considérations particulières pour le secteur public et les organismes sans but lucratif."
CPT 5503 Compétences avancées en fiscalité (3 crédits),"Détermination des impôts à payer par une société dans des situations non courantes, conséquences fiscales ou opportunités de planification fiscale pour les actionnaires et leur société à actionnariat restreint et celles reliées aux opérations complexes, incluant les opérations de restructuration, détermination des impôts à payer par un particulier dans des situations non courantes, évaluation des opportunités de planification fiscales pour les particuliers, incluant la planification successorale, conséquences fiscales pour les non-résidents."
CPT 5504 Intégration des compétences avancées en comptabilité (3 crédits),"Intégration de compétences techniques en information financière, stratégie et gouvernance, comptabilité de gestion, audit et certification, finance et dans une moins grande mesure, en fiscalité dans des situations réalistes caractérisant le travail du comptable professionnel. Méthode d'analyse de cas en comptabilité. Évaluation d'entreprises. Comportement professionnel et éthique, résolution de problèmes et prise de décisions, communication, autonomie, travail d'équipe et leadership."
